iter	Passed	Remaining
402	13145	117331
403	13175	117279
404	13207	117234
405	13236	117173
406	13268	117136
407	13300	117099
408	13331	117046
409	13362	117006
410	13395	116977
411	13436	117017
412	13472	117013
413	13504	116977
414	13538	116952
415	13567	116892
416	13603	116886
417	13635	116846
418	13666	116803
419	13701	116791
420	13742	116831
421	13778	116820
422	13815	116828
423	13850	116810
424	13891	116854
425	13944	116990
426	13979	116976
427	14015	116972
428	14047	116934
429	14075	116856
430	14103	116787
431	14129	116697
432	14208	117048
433	14241	117016
434	14280	117033
435	14318	117044
436	14364	117116
437	14410	117191
438	14441	117146
439	14468	117060
440	14496	116988
441	14529	116955
442	14564	116943
443	14598	116916
444	14621	116810
445	14659	116817
446	14684	116721
447	14704	116582
448	14736	116545
449	14772	116540
450	14803	116490
451	14832	116425
452	14858	116340
453	14883	116246
454	14921	116259
455	14947	116167
456	14973	116082
457	14997	115984
458	15027	115929
459	15054	115852
460	15080	115773
461	15106	115685
462	15128	115568
463	15155	115498
464	15185	115445
465	15213	115372
466	15241	115308
467	15272	115258
468	15316	115311
469	15346	115264
470	15375	115202
471	15406	115154
472	15438	115122
473	15472	115098
474	15500	115030
475	15528	114962
476	15549	114843
477	15578	114785
478	15606	114719
479	15634	114656
480	15664	114599
481	15692	114532
482	15717	114445
483	15744	114372
484	15773	114318
485	15801	114254
486	15833	114214
487	15861	114149
488	15889	114088
489	15918	114026
490	15945	113959
491	15974	113896
492	16001	113830
493	16027	113751
494	16053	113675
495	16075	113569
496	16106	113522
497	16136	113474
498	16165	113414
499	16195	113369
500	16223	113308
501	16255	113268
502	16279	113178
503	16307	113115
504	16337	113069
505	16370	113043
506	16401	113000
507	16441	113017
508	16469	112955
509	16499	112907
510	16527	112848
511	16556	112788
512	16583	112724
513	16613	112676
514	16641	112616
515	16670	112555
516	16700	112513
517	16730	112460
518	16760	112415
519	16791	112373
520	16822	112333
521	16852	112285
522	16877	112207
523	16906	112151
524	16930	112060
525	16954	111979
526	16978	111892
527	17007	111839
528	17036	111784
529	17067	111741
530	17094	111679
531	17124	111630
532	17154	111586
533	17182	111526
534	17210	111465
535	17238	111404
536	17269	111369
537	17302	111338
538	17333	111298
539	17356	111211
540	17381	111134
541	17410	111083
542	17436	111008
543	17466	110962
544	17494	110908
545	17523	110850
546	17554	110813
547	17584	110767
548	17612	110714
549	17640	110653
550	17671	110612
551	17701	110573
552	17727	110501
553	17754	110438
554	17783	110383
555	17805	110294
556	17834	110238
557	17864	110195
558	17893	110142
559	17922	110093
560	17951	110046
561	17980	109993
562	18003	109908
563	18031	109849
564	18060	109800
565	18089	109752
566	18118	109703
567	18145	109640
568	18162	109517
569	18190	109464
570	18218	109409
571	18248	109362
572	18278	109319
573	18306	109266
574	18336	109221
575	18369	109193
576	18405	109189
577	18442	109187
578	18496	109285
579	18531	109269
580	18561	109228
581	18590	109176
582	18633	109214
583	18671	109213
584	18720	109281
585	18769	109350
586	18829	109478
587	18880	109559
588	18925	109602
589	18967	109626
590	19002	109609
591	19033	109573
592	19063	109528
593	19096	109497
594	19126	109456
595	19153	109395
596	19183	109347
597	19209	109281
598	19243	109259
599	19272	109209
600	19305	109184
601	19332	109123
602	19360	109065
603	19387	109009
604	19430	109037
605	19461	108996
606	19491	108954
607	19519	108897
608	19549	108853
609	19573	108777
610	19603	108733
611	19633	108688
612	19660	108632
613	19692	108598
614	19718	108534
615	19747	108483
616	19778	108444
617	19801	108365
618	19824	108284
619	19851	108224
620	19878	108163
621	19901	108084
622	19926	108013
623	19956	107970
624	19983	107911
625	20008	107842
626	20035	107782
627	20062	107725
628	20089	107667
629	20117	107611
630	20141	107540
631	20166	107467
632	20191	107399
633	20221	107356
634	20247	107293
635	20275	107241
636	20301	107179
637	20325	107105
638	20353	107052
639	20380	106995
640	20406	106933
641	20430	106862
642	20461	106828
643	20486	106761
644	20514	106705
645	20541	106651
646	20569	106597
647	20598	106551
648	20625	106497
649	20651	106433
650	20677	106374
651	20706	106329
652	20735	106281
653	20766	106244
654	20797	106211
655	20828	106172
656	20853	106105
657	20884	106074
658	20911	106015
659	20937	105956
660	20964	105899
661	20991	105844
662	21015	105773
663	21043	105722
664	21068	105661
665	21094	105597
666	21122	105549
667	21151	105501
668	21178	105449
669	21202	105377
670	21227	105314
671	21251	105246
672	21279	105196
673	21306	105139
674	21331	105076
675	21356	105015
676	21377	104929
677	21405	104879
678	21435	104841
679	21461	104780
680	21486	104721
681	21511	104656
682	21540	104610
683	21569	104568
684	21596	104513
685	21623	104463
686	21651	104411
687	21680	104369
688	21708	104322
689	21734	104262
690	21759	104201
691	21785	104143
692	21812	104091
693	21839	104035
694	21863	103971
695	21885	103892
696	21910	103829
697	21934	103764
698	21966	103737
699	21997	103700
700	22028	103671
701	22060	103640
702	22097	103636
703	22128	103602
704	22159	103569
705	22189	103530
706	22221	103501
707	22252	103466
708	22278	103410
709	22308	103375
710	22343	103356
711	22366	103289
712	22396	103250
713	22425	103205
714	22454	103166
715	22489	103148
716	22520	103115
717	22549	103072
718	22578	103030
719	22607	102991
720	22640	102966
721	22669	102922
722	22694	102862
723	22726	102833
724	22756	102794
725	22783	102745
726	22809	102690
727	22837	102644
728	22867	102604
729	22899	102576
730	22926	102527
731	22953	102477
732	22982	102431
733	23010	102387
734	23041	102354
735	23066	102296
736	23094	102248
737	23123	102207
738	23147	102142
739	23176	102101
740	23204	102055
741	23232	102010
742	23263	101979
743	23290	101925
744	23316	101871
745	23342	101819
746	23367	101760
747	23396	101718
748	23427	101687
749	23454	101634
750	23479	101579
751	23506	101529
752	23537	101494
753	23572	101479
754	23600	101435
755	23630	101397
756	23661	101365
757	23691	101331
758	23720	101290
759	23750	101252
760	23777	101204
761	23803	101148
762	23828	101091
763	23852	101031
764	23875	100965
765	23899	100901
