iter	Accuracy	Logloss
0	0.7600723242	0.6880105216
500	0.7601902441	0.5198724588
1000	0.7626076019	0.5065447249
1500	0.7649659998	0.4964136736
2000	0.7678353838	0.4880113284
2500	0.7710192209	0.4808703141
3000	0.7738492984	0.474176853
3500	0.7771707087	0.4679914125
3999	0.7799811328	0.4620983065
